교과 구분,code,name,professor,time
학문의기초,COSE101-01,컴퓨터프로그래밍I,한영진,화(1-2)
학문의기초,COSE101-02,컴퓨터프로그래밍I,홍민석,금(1-2)
학문의기초,COSE102-01,컴퓨터프로그래밍II,최수경,금(2-3)
학문의기초,COSE102-02,컴퓨터프로그래밍II,최수경,금(4-5)
학문의기초,COSE102-03,컴퓨터프로그래밍II,한영진,화(3-4)
학문의기초,COSE102-04,컴퓨터프로그래밍II,홍민석,금(4-5)
학문의기초,COSE111-01,전산수학I,유용재,목(3-4)
학문의기초,COSE111-02,전산수학I,박중석,금(1-2)
학문의기초,COSE112-01,전산수학II,이종실,금(3-4)
학문의기초,COSE112-02,전산수학II,이종실,화(2) 목(2)
학문의기초,COSE112-03,전산수학II,최창열,목(1-2)
학문의기초,COSE112-04,전산수학II,최창열,목(3-4)
전공선택,COSE211-01,이산수학(영강),박성빈,화(6) 목(6)
전공선택,COSE211-02,이산수학(영강),박성빈,월(5) 수(5)
전공선택,COSE212-01,프로그래밍언어(영강),박지혁,월(4) 수(4)
전공선택,COSE212-02,프로그래밍언어 DL,오학주,월(2-3) 수(2-3)
전공필수,COSE213-01,자료구조(영강),김세연,화(5) 목(5)
전공필수,COSE213-02,자료구조(영강),박채용,화(4) 목(4)
전공필수,COSE213-03,자료구조(영강),장부루,화(3) 목(3)
전공필수,COSE213-04,자료구조,이도길,월(2) 수(2)
전공필수,COSE214-01,알고리즘(영강),박성빈,월(6) 수(6)
전공필수,COSE214-02,알고리즘(영강),박성빈,월(4) 수(4)
전공필수,COSE214-03,알고리즘(영강),안가빈,화(4) 목(4)
전공필수,COSE214-04,알고리즘,유용재,목(1-2)
전공필수,COSE214-05,알고리즘,김승태,목(5-6)
전공선택,COSE215-00,계산이론(영강),우승훈,화(4) 목(4)
전공선택,COSE221-00,논리설계,이숙윤,월(1) 수(1)
전공필수,COSE222-01,컴퓨터구조(영강),구건재,월(2) 수(2)
전공필수,COSE222-02,컴퓨터구조(영강),김영근,월(4) 수(4)
전공필수,COSE222-03,컴퓨터구조 T,정성우,금(3-4)
전공필수,COSE222-04,컴퓨터구조(영강),서태원,월(4) 수(4)
전공필수,COSE222-05,컴퓨터구조,이중희,화(5) 목(5)
전공필수,COSE222-06,컴퓨터구조,이중희,화(6) 목(6)
전공선택,COSE242-01,데이터통신,김효곤,화(2) 목(2)
전공선택,COSE242-02,데이터통신,민성기,화(4) 목(4)
전공선택,COSE281-00,공학수학,박중석,금(4-5)
전공선택,COSE284-00,전자기학,이주섭,월(5) 금(5)
전공선택,COSE322-00,시스템프로그래밍,유혁,월(5) 수(5)
전공필수,COSE341-01,운영체제(영강),양경식,월(5) 수(5)
전공필수,COSE341-02,운영체제(영강),오상은,월(3) 수(3)
전공필수,COSE342-01,컴퓨터네트워크 DL,주창희,월(5) 화(5) 수(5) 목(5)
전공필수,COSE342-02,컴퓨터네트워크(영강),곽정호,화(5) 목(5)
전공필수,COSE342-03,컴퓨터네트워크,민성기,월(4) 수(4)
전공선택,COSE352-01,소프트웨어공학(영강) DL,김동선,화(3-4) 목(3-4)
전공선택,COSE352-02,소프트웨어공학 FC,인호,월(2) 수(2)
전공선택,COSE354-01,정보보호(영강),이희조,화(5) 목(5)
전공선택,COSE354-02,정보보호(영강) DL,허준범,월(1-2) 수(1-2)
전공필수,COSE361-00,인공지능(영강) T,윤수식,금(2-3)
전공필수,COSE361-02,인공지능(영강),김동현,화(3) 목(3)
전공선택,COSE362-01,기계학습,김현철,화(5) 목(5)
전공선택,COSE362-02,기계학습,육동석,월(1) 수(1)
전공선택,COSE362-03,기계학습,강재우,화(4) 목(4)
전공선택,COSE371-00,데이터베이스(영강),박종혁,화(4) 목(4)
전공선택,COSE372-00,데이터베이스시스템 T,정연돈,화(2) 목(2)
전공선택,COSE380-00,디지털신호처리,이재훈,월(3) 수(3)
전공선택,COSE382-01,확률및랜덤과정,정원주,월(2) 수(2)
전공선택,COSE382-02,확률및랜덤과정,백승준,화(5) 목(5)
전공선택,COSE389-00,기업가정신과리더쉽,이문영,수(5) 금(5)
전공선택,COSE401-00,현장실습및창업실습I,이숙윤,미정
전공선택,COSE402-00,현장실습및창업실습II,이숙윤,미정
전공선택,COSE403-00,현장실습및창업실습III,이숙윤,미정
전공선택,COSE404-00,현장실습및창업실습IV,이숙윤,미정
전공선택,COSE405-00,컴퓨터학콜로키움(영강),김진규,수(6-9) 토(1)
전공선택,COSE407-00,개별연구프로젝트(영강),김진규,화(6) 토(2-4)
전공선택,COSE432-00,인간컴퓨터상호작용입문(영강),김정현,월(2) 수(2)
전공선택,COSE436-00,인터렉티브시각화(영강),정원기,화(2) 목(2)
전공선택,COSE444-00,클라우드컴퓨팅 T,유헌창,월(2) 수(2)
전공선택,COSE455-00,스타트업프로젝트관리,이문영,수(4) 금(4)
전공선택,COSE457-00,실전SW프로젝트,유헌창,목(4-5) 토(3-4)
전공선택,COSE474-01,딥러닝,백승준,화(2) 목(2)
전공선택,COSE474-02,딥러닝(영강),이정범,화(2) 목(2)
전공선택,COSE474-03,딥러닝(영강),이상민,화(5) 목(5)
전공선택,COSE475-00,고급딥러닝(영강),서홍석,화(1) 목(1)
전공선택,COSE480-01,산학캡스톤디자인,"이숙윤, 구건재",월(5-6) 토(5-6)
전공선택,COSE484-00,무선보안(영강),전유석,화(2) 목(2)
전공선택,COSE490-00,전산학특강(영강),박성빈,금(3-4)
전공선택,DATA202-00,계산복잡도기초(영강),박성빈,금(5-6)
전공선택,DATA302-00,기초컴퓨터비전이론및응용(영강),문경식,화(2) 목(2)
전공선택,DATA303-00,고급기계학습(영강),박성우,화(4) 목(4)
전공선택,DATA304-00,빅데이터분석(영강) T,강성구,화(6) 목(6)
전공선택,DATA401-00,데이터시각화(영강),강형엽,금(4-5)
전공선택,DATA423-00,기업현장실습I,이숙윤,미정
전공선택,DATA424-00,기업현장실습Ⅱ,이숙윤,미정
전공선택,DATA425-00,기업현장실습Ⅲ,이숙윤,미정
전공선택,DATA426-00,기업현장실습Ⅳ,이숙윤,미정